id,text,score,sentiment,score_round
1,"""Звездные войны: Последние джедаи"" - это не просто фильм а настоящее шедевр кинематографии. Графика актерская игра и музыка перенесли меня в мир фантастической эпопеи. Я наслаждался каждой минутой просмотра и воодушевлен новыми персонажами и живописными местами. Однозначно этот фильм стал одним из самых любимых для меня в серии ""Звездные войн"".",4.2641473e-09,Positive,0
2,"На мой взгляд этот фильм стал одним из самых разочаровывающих в серии ""Звездных войн"". Сюжет был затянутым и непонятным а новые персонажи не вызывали желания о них узнавать. В целом я ожидал намного большего от этого фильма.",0.5416988,Negative,1
3,"""Star Wars: The Last Jedi"" is not just a movie but a true masterpiece of cinematography. The graphics acting and music took me to the world of a fantastic epic. I enjoyed every minute of watching and was inspired by the new characters and picturesque places. Definitely this film has become one of my favorites in the ""Star Wars"" series.",1.0680785e-14,Positive,0
4,"In my opinion this movie has become one of the most disappointing in the ""Star Wars"" series. The plot was drawn out and confusing and the new characters did not make me want to learn more about them. Overall I expected much more from this film.",1.90309e-14,Positive,0
5,Фильм просто ужасен! Несколько часов потраченных впустую на бессмысленный сюжет невнятные диалоги и плохо отыгранные актерские роли. Никакой динамики никакой эмоциональной нагрузки только бессмысленное кино. Режиссер и сценаристы не смогли передать никакого замысла и я чувствовал себя разочарованным и невыполненным по завершении просмотра. Настоятельно не рекомендую этот фильм никому!,0.99999946,Negative,1
6,Приветствую Вас уважаемый читатель! Я бы хотел рассказать Вам о том как жизнь может быть прекрасна и насколько много добра в мире. Мы живем в прекрасное время когда нам доступна вся информация и возможности которые мы можем использовать для дальнейшего развития и саморазвития. Не стоит забывать о том что вокруг нас много чудес и красоты которые мы можем наслаждаться каждый день. Будьте благодарны за то что у вас есть здоровье друзья и любимые дела. Желаю Вам быть всегда оптимистом находить около себя только положительных людей и наслаждаться каждым моментом вашей жизни.,6.475306e-08,Positive,0
7,Я никогда не видел такого ужасного сервиса как этот. Команда поддержки не отвечает сайт не работает все сбоит и ломается. Я потратил много времени и денег но так и не смог достичь желаемого результата. Это полный отстой! Никому не рекомендую связываться с этим бесполезным проектом.,0.99961907,Negative,1
8,I can't believe how terrible your service is! Your products are cheap and poorly made and your customer support team is completely unhelpful. I will never do business with your company again and I will make sure to spread the word about how awful you are to anyone who will listen. You should be ashamed of yourselves for even existing.,5.3840256e-17,Positive,0
9,Приветствую вас уважаемый читатель! Я бы хотел рассказать вам о том как жизнь может быть прекрасна и насколько много добра в мире. Мы живем в прекрасное время когда нам доступна вся информация и возможности которые мы можем использовать для дальнейшего развития и саморазвития. Не стоит забывать о том что вокруг нас много чудес и красоты которыми мы можем наслаждаться каждый день Будьте благодарны за то что у вас есть здоровье друзья и любимые дела. Желаю вам быть всегда оптимистом находить около себя только положительных людей и наслаждаться каждым моментом вашей жизни,3.0743934e-08,Positive,0
10,Я никогда не видел такого ужасного сервиса как этот. Команда поддержки не отвечает сайт не работает все сбоит и ломается. Я потратил много времени и денег но так и не смог достичь желаемого результата. Это полный отстой! Никому не рекомендую связываться с этим бесполезным проектом,0.99961907,Negative,1
11,Этот город пропитан отвратительной атмосферой и мрачной энергией.,0.9726159,Negative,1
12,Этот город пропитан отвратительной атмосферой и мрачной энергией.,0.9726159,Negative,1
13,Этот город пропитан отвратительной атмосферой и мрачной энергией.,0.9726159,Negative,1
14,Этот город пропитан отвратительной атмосферой и мрачной энергией.,0.9726159,Negative,1
15,Я испытываю только гнев и разочарование говоря о своих прошлых отношениях.,0.99997115,Negative,1
